,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
"Pyrimidine Metabolism, Thymine containing, Nucleotide, 5,6-dihydrothymine",-0.004265452531121329,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012182910482094654,-0.0,-0.0,-0.015081052023414252,-0.003152941503663024,0.005428122345597046,7
"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, hypoxanthine",0.0005013483548438794,0.0,0.02830860731287803,0.007314118043585636,0.0,0.0,0.009279867677056719,0.0,2.39753387490014e-07,0.0,0.0045404181141751754,0.008573720887508553,5
"Purine Metabolism, Adenine containing, Nucleotide, adenosine 5'-monophosphate (AMP)",-0.02135068547861259,-0.054447762744152244,-0.032130406024326874,-0.046889274286650205,-0.07898085035464324,-0.028166689227882787,-0.041334215899298456,-0.03242388375702417,-0.05553318153293177,-0.02736463617735451,-0.04186215854828769,0.016585821657178264,0
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cystine",0.014493396944354177,0.01613983257588249,0.0038229122843983173,0.003118745863048373,0.0,0.0,0.0,0.0,0.0,0.002666316393725393,0.004024120406140875,0.005831533051752963,5
"Urea cycle; Arginine and Proline Metabolism, Amino Acid, ornithine",0.0,0.0,0.0,0.0015620963669930258,0.0,0.0,0.0,0.0,0.001015578127215842,0.0,0.0002577674494208868,0.0005298210464338457,8
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, lactate",0.0,0.0,0.0,0.0,0.0,0.03266478346043449,0.0,0.0,0.0,0.0,0.0032664783460434493,0.009799435038130347,9
"Glycine, Serine and Threonine Metabolism, Amino Acid, sarcosine",-0.0038840451525053456,-0.019712785123632465,-0.0048784224264687365,-0.01905689080792182,-0.0,-0.012451221459663086,-0.025184221126779035,-0.018191650751397163,-0.0,-0.0,-0.010335923684836764,0.009179023255153703,3
"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamyltyrosine",0.010066745950310499,0.0,0.01577848215132596,0.008694536192463758,0.015535314904596205,0.0,0.005918495454683343,0.021307445311367856,0.01979742406588788,0.007466819931954004,0.01045652639625895,0.007145478379668471,2
"Phospholipid Metabolism, Lipid, 1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",0.014044337558644414,0.016259685240006146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030304022798650562,0.0060810147326503874,8
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cysteine s-sulfate",0.3103523999521011,0.29334297600414005,0.28474097598977516,0.28395715213212347,0.3218743359187209,0.34821409399683173,0.29183385759395825,0.28937802864965206,0.2899087596117989,0.3124298207721416,0.3026032400621243,0.01952654990642083,0
"Monoacylglycerol, Lipid, 1-palmitoylglycerol (16:0)",-0.0,-0.0,-0.00516920505586445,-0.002534470259085912,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0007703675314950362,0.0016495320266047592,8
"Histidine Metabolism, Amino Acid, N-acetylhistidine",0.0009674345203391178,0.0,0.0,0.0,0.0,0.0033851097996877287,0.0,0.008824671297982641,0.0,0.0,0.0013177215618009486,0.0027001077808149246,7
"Pyrimidine Metabolism, Uracil containing, Nucleotide, 5-methyluridine (ribothymidine)",0.06340057963457067,0.06263667904740498,0.04487740002065749,0.03587707270515061,0.03965028737991052,0.051650891044169804,0.06208298594864812,0.06998084557520898,0.04307040033230149,0.046380398743382435,0.0519607540431405,0.011147687340169923,0
"Lysolipid, Lipid, 2-myristoyl-GPC (14:0)*",0.0,0.0,0.007861757298724667,0.0,0.0,0.03382309021484288,0.026647375006846892,0.0,0.0,0.0,0.006833222252041443,0.012037283708557492,7
"Hemoglobin and Porphyrin Metabolism, Cofactors and Vitamins, bilirubin (E,E)*",0.006597667805308007,0.023017816744446647,0.05986527005564911,0.0,0.0,0.022664447760275853,0.019873582305291727,0.024331247310011028,0.017752151600627188,0.03210077050770352,0.020620295408931306,0.016587580458566835,2
"Fatty Acid, Dicarboxylate, Lipid, docosadioate (C22-DC)",-0.002501914551356815,-0.0,-0.0,-0.004978382677686967,-0.0,-0.012310390364986885,-0.0077288510731848056,-0.012245826639888817,-0.0,-0.0,-0.003976536530710429,0.004838972645625121,5
"Lysoplasmalogen, Lipid, 1-(1-enyl-palmitoyl)-GPE (P-16:0)*",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0005106166021426793,-0.0,-5.106166021426793e-05,0.0001531849806428038,9
