,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
ARACHIDONIC ACID,-0.0,-0.024318706373473317,-0.04107547012058108,-0.03465521908089842,-0.03484620938438234,-0.03952168935252196,-0.04059320889899343,-0.0,-0.03636295306633589,-0.04243482071425733,-0.029380827699144373,0.015473386129717779,2
CARBON DIOXIDE (CO2),0.0,0.007292671800180602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007292671800180602,0.0021878015400541807,9
"CHOLESTEROL, TOTAL",0.0,0.0,0.0,0.0,0.0,0.011489325568744541,0.011533637694281439,0.0,0.0,0.0,0.002302296326302598,0.004604603313495011,8
"GFR, MDRD",-0.0525522342326443,-0.030210643946633597,-0.0309097742540087,-0.00022820761311465962,-0.004915463185811965,-0.008913012724666887,-0.01489093298147751,-0.013262220205526913,-0.004206601183000487,-0.0,-0.0160089090326885,0.01608092132623376,1
INSULIN,0.026989496772241186,0.026086204664285052,0.0062602581113472425,0.020900197631381266,0.0,0.0,0.02405387644350909,0.005534685261848427,0.02066226826991484,0.018023424625522755,0.014851041178004986,0.010199964411439997,2
OMEGA-6/OMEGA-3 RATIO,-0.0,-0.0,-0.015173930587103214,-0.0,-0.0,-0.0,-0.010751220256655048,-0.0,-0.0,-0.0,-0.0025925150843758263,0.00527849942542551,8
"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, hypoxanthine",0.0,0.0,0.03439604131410897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003439604131410897,0.01031881239423269,9
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, pyruvate",0.0,0.0,0.0,0.0,0.0,0.006292116749286818,0.024858658072830782,0.0,0.0,0.0,0.00311507748221176,0.007486698452366992,8
"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamyltyrosine",0.03359722795023346,0.0,0.04311968490054141,0.0014497812575191447,0.011759045509047297,0.028490768709639656,0.009009330043792788,0.0514882351502033,0.033247427472070865,0.026635653117253067,0.0238797154110301,0.016687808803442675,1
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cysteine s-sulfate",0.13358354643716547,0.11408417697927524,0.12243956227893737,0.10407837271839485,0.15408859899678337,0.14662277242847194,0.09218628184667489,0.1021463513350751,0.12011127762151227,0.1338630689731168,0.12232040096154073,0.018922140773639948,0
"Pyrimidine Metabolism, Uracil containing, Nucleotide, 5-methyluridine (ribothymidine)",0.0,0.002952716256422336,0.00041496463901573706,0.0,0.0,0.0,0.0,0.0,0.0,0.004530008859864619,0.0007897689755302691,0.001522312677012342,7
"Phenylalanine and Tyrosine Metabolism, Amino Acid, phenol sulfate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006561448859634693,0.0006561448859634694,0.001968434657890408,9
"Lysolipid, Lipid, 2-myristoyl-GPC (14:0)*",0.024599693136126515,0.0,0.0,0.0,0.0,0.02292811747749746,0.03936344036707615,0.0,0.0,0.0008674563007443633,0.008775870728144449,0.0138235933137826,6
"Fatty Acid, Dicarboxylate, Lipid, docosadioate (C22-DC)",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.473220427907275e-05,-0.0,-0.0,-6.4732204279072746e-06,1.9419661283721824e-05,9
"Lysolipid, Lipid, 1-eicosapentaenoyl-GPC (20:5)*",0.011869470948553677,0.0,0.0,0.002576613162134828,0.0,0.01069704053981656,0.0,0.0,0.0,0.009321063087415858,0.0034464187737920917,0.0047963959983767564,6
