,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
A/G RATIO,-0.0019282939779718799,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019282939779718798,0.000578488193391564,9
ARACHIDONIC ACID,-0.036401388205690936,-0.01531045551749305,-0.0,-0.0070650019416536435,-0.020955806069994868,-0.05521022653111632,-0.008268379393765806,-0.00022404985512353894,-0.014857040322451902,-0.04230591694661519,-0.020059826478390524,0.017752950329713794,1
"BILIRUBIN, TOTAL",0.03459125163561742,0.029883854745676307,0.03742432701662211,0.011202743493816383,0.0018591575746592552,0.020099309360439452,0.03474203543896676,0.04749543983760256,0.013088683585708819,0.03295884043163584,0.02633456431207449,0.013447868751647503,0
CALCIUM,0.0,0.0,0.0,0.004468362876674225,0.0,0.02094870469777752,0.009550034718404064,0.0,0.0,0.0055472798130276404,0.004051438210588345,0.006454831183051344,6
CARBON DIOXIDE (CO2),0.011644287442918498,0.045026263645298686,0.004421685897422337,0.0071605304322004725,0.023366359183478597,0.0068111486045755775,0.006955385703998334,0.025229280980772092,0.0066134553759795,0.0,0.013722839726664406,0.01292913506941261,1
CHLORIDE,0.0,0.026308322827838754,0.0,0.01480268693399335,0.014902855595185102,0.0,0.011132175987464127,0.016973856320710606,0.01827345763406419,0.0,0.01023933552992561,0.009115146564606122,4
"CHOLESTEROL, TOTAL",0.0,0.01913460718162759,0.0,0.0,0.0,0.0042398720270290235,0.009147205715060317,0.002926062713246164,0.005455750326067437,0.0,0.004090349796303053,0.0058206401645822395,5
EPA,0.17554894433740587,0.12023681285856183,0.10100753778211097,0.150230587710018,0.11357050512627688,0.0964234752999529,0.09877067025661339,0.15746551642801276,0.13524587376244732,0.12687141011685035,0.12753713336782505,0.02554105085012389,0
"GFR, MDRD",-0.09298656123059888,-0.07958208219162968,-0.06731878420374018,-0.052510578914322266,-0.08493393859672617,-0.09226133604044878,-0.07295439202292035,-0.06368655204795126,-0.046495568039392594,-0.060042934121219936,-0.07127727274089501,0.015283101622829151,0
GLOBULIN,0.017069360069175435,0.0,0.0,0.0002591771540888711,0.007374557692340826,0.0,0.0026313789234643347,0.0,0.0,0.0,0.0027334473839069466,0.005272770961828331,6
"HOMOCYSTEINE, SERUM",0.020748561304745512,0.031838649906649585,0.03279671863772151,0.03458901657219958,0.0,0.01039287167691815,0.0,0.0,0.029581004567611032,0.01838653167243225,0.017833335433827764,0.013627402092247243,3
INSULIN,0.08267833202396853,0.09331236931342654,0.0926737055641998,0.07981472273758779,0.06745598643442129,0.07534785447833402,0.09048879862964551,0.08245156593253666,0.09500124390188787,0.07750248580080613,0.08367270648168142,0.008581705849281574,0
LDL SMALL,-0.08402597523161413,-0.09155476497938723,-0.10356359528398408,-0.10253095060717023,-0.1103002522893668,-0.07999391931122657,-0.0849278796241806,-0.08593149845347821,-0.09090406452973178,-0.101657997173827,-0.09353908974839666,0.009721511087435557,0
LDL-CHOL CALCULATION,0.059399013334870764,0.02668801500032348,0.05409980133163797,0.05818754111339519,0.07856807714349083,0.03780388278849212,0.0763364741907476,0.06577057318797229,0.03818523960522426,0.038759110282761126,0.05337977279789156,0.01665698945816577,0
OMEGA-3 INDEX,-0.27415773705849616,-0.29342614863367944,-0.30705634920559643,-0.3264532708457411,-0.31001170585667026,-0.24528657798540887,-0.3150365910574543,-0.3489107302154102,-0.3001122022232526,-0.2984531797001707,-0.30189044927818803,0.02671970123234837,0
OMEGA-6/OMEGA-3 RATIO,-0.15741487289117845,-0.19787585996118645,-0.2366782313073345,-0.1803311575373281,-0.22996618472181243,-0.16144456189304834,-0.2517345760555042,-0.2299011287788553,-0.20005723956545957,-0.21328486191848342,-0.20586886746301908,0.030556920187257263,0
