,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
"Pyrimidine Metabolism, Thymine containing, Nucleotide, 5,6-dihydrothymine",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005571146089744229,-0.0,-0.0,-0.010268130311203634,-0.0015839276400947864,0.003337422675517275,8
"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, hypoxanthine",0.0016627584042242507,0.0,0.031042934685504505,0.006051972451678754,0.0,0.0,0.010516880204120664,0.0,0.0,0.0,0.004927454574552818,0.0093319966424137,6
"Purine Metabolism, Adenine containing, Nucleotide, adenosine 5'-monophosphate (AMP)",-0.0448463633334538,-0.07357212116444645,-0.051795579149225085,-0.06581854046134836,-0.08084194162262877,-0.046441077850272704,-0.058745958924055756,-0.05855768754496854,-0.06471721939323456,-0.043977746971625924,-0.058931423641525996,0.011850877996979241,0
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cystine",0.009324270564071695,0.00927784701308354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018602117577155234,0.0037204379972627715,8
"Urea cycle; Arginine and Proline Metabolism, Amino Acid, ornithine",0.0,0.0015763598903483591,0.016864783103061727,0.0314415501667642,0.0,0.0,0.0,0.023815829467719363,0.02820368638671055,0.005274090639907525,0.010717629965451173,0.012317705414793653,4
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, lactate",0.0,0.0,0.0,0.0,0.0,0.03333576855399399,0.0,0.0,0.0,0.0,0.0033335768553993993,0.010000730566198197,9
"Glycine, Serine and Threonine Metabolism, Amino Acid, serine",-0.0035046264235816067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00035046264235816065,0.0010513879270744818,9
"Glycine, Serine and Threonine Metabolism, Amino Acid, sarcosine",-0.009033493859069187,-0.02550051769637416,-0.009771437046441773,-0.01982094437133299,-0.0,-0.01850776972565303,-0.02962557716569832,-0.023197506522456324,-6.67735991852829e-05,-0.0,-0.013552401998621105,0.010685955093851868,2
"Phospholipid Metabolism, Lipid, phosphoethanolamine",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00401530451099229,-0.0,-0.00040153045109922903,0.001204591353297687,9
"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamyltyrosine",0.018640914909490665,0.0,0.017461211374087578,0.01026448414206622,0.012636686734275331,0.007895319898278706,0.013568998644708704,0.02462156248095433,0.01964195711651299,0.011293320474516009,0.013602445577489053,0.006581630094267823,1
"Phospholipid Metabolism, Lipid, 1-myristoyl-2-palmitoyl-GPC (14:0/16:0)",0.001620665977237906,0.015392690861465563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017013356838703469,0.004589292527986379,8
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cysteine s-sulfate",0.3010022646280931,0.28732666069524165,0.26823747932957276,0.26242328975480766,0.32294571116275866,0.3364224883311433,0.28337178785343076,0.27427387835963285,0.2692874971240184,0.302740389524096,0.2908031446762795,0.02340697570329946,0
"Monoacylglycerol, Lipid, 1-palmitoylglycerol (16:0)",-0.0,-0.0,-0.01583408354579425,-0.013398190384262876,-0.0,-0.0,-0.00295652373558284,-0.0,-0.0,-0.0,-0.0032188797665639963,0.005791017789570847,7
"Monoacylglycerol, Lipid, 1-linoleoylglycerol (18:2)",0.0,0.006498619307952104,0.019977453988112445,0.010127481434969662,0.0,0.0,0.0,0.0003197171043070287,0.0,0.0071102773970698925,0.004403354923241112,0.006329767127329764,5
"Pyrimidine Metabolism, Uracil containing, Nucleotide, 5-methyluridine (ribothymidine)",0.05465490663726842,0.055789335542165065,0.03191579866463107,0.020379240962959153,0.042040173254841426,0.04052313341628595,0.05537608389243394,0.058709229370004966,0.032337398163123206,0.03848092867148341,0.04302062285751966,0.012145264578987508,0
"Lysolipid, Lipid, 2-myristoyl-GPC (14:0)*",0.009298064793950563,0.0,0.013973642533887337,0.0,0.0,0.033462740908847884,0.03285832968249081,0.0,0.004594090880042326,0.0,0.009418686879921891,0.012708778850964662,5
"Hemoglobin and Porphyrin Metabolism, Cofactors and Vitamins, bilirubin (E,E)*",0.0012885409480903646,0.016205851759461033,0.05040584393985342,0.0,0.0007881832220001433,0.016959843017222396,0.01592752232180822,0.01790296591919255,0.013125381419176109,0.028428157704099538,0.016103229025090378,0.014334555011551646,1
"Lysolipid, Lipid, 1-docosapentaenoyl-GPC (22:5n3)*",0.0,0.011068463332748036,0.0,0.0,0.0,0.012840021390239698,0.0,0.0,0.0,0.0,0.002390848472298773,0.004798077382402946,8
"Fatty Acid, Dicarboxylate, Lipid, docosadioate (C22-DC)",-0.0,-0.0,-0.0,-0.003619718716856307,-0.0,-0.005405121095429711,-0.00424992125191443,-0.010503773111165548,-0.0,-0.0,-0.0023778534175365996,0.0033788594097836117,6
"Lysoplasmalogen, Lipid, 1-(1-enyl-palmitoyl)-GPE (P-16:0)*",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.010188011963275434,-0.0,-0.0010188011963275434,0.0030564035889826305,9
"Lysolipid, Lipid, 1-eicosapentaenoyl-GPC (20:5)*",0.04529971438635106,0.03242994863782999,0.0,0.04541928040800642,0.031138699830246083,0.06795914243126341,0.0,0.03258816169532207,0.03451405971078622,0.02405155055468416,0.031340055765448946,0.01940215225870447,2
"Dipeptide, Peptide, cyclo(pro-val)",0.0,0.0,0.0,0.0,0.017642049649011324,0.0,0.0,0.009062425759215849,0.02507499224777655,0.008684086830882497,0.006046355448688622,0.008555430641720933,6
"Sphingolipid Metabolism, Lipid, behenoyl sphingomyelin (d18:1/22:0)*",0.038415990847483705,0.04895492387165239,0.01122453323070114,0.0,0.038042816936638336,0.022866205285479394,0.0278991333874971,0.022047005148814827,0.008963643134509877,0.039777701560024484,0.025819195340280127,0.014930567216966752,1
"Phospholipid Metabolism, Lipid, 1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*",0.042443502347175525,0.03862633688257653,0.057470834555458115,0.0352972847262276,0.024106984694781005,0.008839888422533975,0.08368660640074745,0.06500708906072225,0.044517107670469964,0.05756054942882846,0.04575561841895208,0.020224053847612018,0
"Sphingolipid Metabolism, Lipid, myristoyl dihydrosphingomyelin (d18:0/14:0)*",0.013318643272659256,0.0,0.013666639123183867,0.011666814698593786,0.03326163095880481,0.0016550070642380984,0.0,0.023537875540789035,0.03623391376706258,0.0,0.013334052442533143,0.013031928244246042,3
"Phospholipid Metabolism, Lipid, 1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*",0.0,0.0,0.0,0.0,0.017906594131687725,0.0,0.0005610681891339717,0.0,0.03963063656753928,0.0,0.0058098298888360975,0.01246598183973529,7
"Phospholipid Metabolism, Lipid, 1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*",0.016508900787278735,0.025619743414879333,0.016495911367731392,0.024607258985559724,0.02215166123693086,0.0,0.02389989372219416,0.0,0.0,0.045214318712746754,0.017449768822732095,0.013666889393569982,3
"Fatty Acid Metabolism(Acyl Carnitine), Lipid, (S)-3-hydroxybutyrylcarnitine",-0.0,-0.0,-0.0,-0.015573309848840406,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0015573309848840406,0.004671992954652122,9
