,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
diversity_shannon,-0.05250970643828015,-0.1266909753041778,-0.09010485549528317,-0.08987318389531833,-0.06593046007397396,-0.134727074217357,-0.10981357137024467,-0.09564322347235059,-0.13600620904398358,-0.09877382915604391,-0.10000730884670131,0.02635933118297713,0
observed_otus_30000,0.2119140231859447,0.0,0.0,0.0,0.0,0.0,0.05633811162733578,0.0,0.07218556791084788,0.34509678339063804,0.06855344861147664,0.11197693021354894,6
observed_otus_50000,0.09089939740971388,0.3524757056079048,0.33649900435577146,0.3190817351427513,0.36004498591740103,0.3519100943717558,0.3117866180649792,0.3508025814037579,0.26079018053692177,0.017061398535922628,0.27513517013468797,0.11515294220746411,0
bacteria.bacteroidetes.bacteroidia.bacteroidales.prevotellaceae.prevotella,0.0,0.0,0.0,0.001371922904647798,0.0,0.0005165844214213532,0.0,0.0,0.0,0.001700851886892989,0.000358935921296214,0.0006126645987758969,7
bacteria.firmicutes.clostridia.clostridiales.ruminococcaceae.oscillospira,-0.020285187494145922,-0.030022003164314748,-0.021964271317085334,-0.022123865611348242,-0.014371244915990702,-0.010817384482888994,-0.006598194176551757,-0.0,-0.017261415621566654,-0.009057336777818076,-0.015250090356171045,0.008403142648326888,1
bacteria.firmicutes.bacilli.gemellales.gemellaceae.unclassified,0.0,0.0,0.027235119052607004,0.011860442993777993,0.0,0.0,0.0,0.0,0.0018285990750268758,0.0,0.004092416112141187,0.008475180800705055,7
bacteria.bacteroidetes.flavobacteriia.flavobacteriales.flavobacteriaceae.flavobacterium,0.03395262717418702,0.02300410762372875,0.030504635546026605,0.029962306813544955,0.027656520080530135,0.03164575081413232,0.026956933146252277,-0.0,0.030071762793297697,0.02632228039573832,0.026007692438743808,0.009145644176492452,1
bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.blautia,0.0,0.0,0.0,0.0,0.0,0.015807390566716255,0.0,0.0,0.010629218400849695,0.0,0.002643660896756595,0.005412619060780769,8
bacteria.firmicutes.clostridia.clostridiales.clostridiaceae.clostridium,0.047536486906209846,0.03223741121162618,0.027935908106209384,0.03512852877921068,0.0260952976526316,0.01079506318042622,0.028651250728146827,0.03524432755795259,0.030926808447125288,0.030563430520320435,0.030511451308985908,0.008689393896928785,0
bacteria.firmicutes.clostridia.clostridiales.tissierellaceae.ph2,-0.0,-0.002025829822449027,-0.0,-0.0,-0.0,-0.007803737960805034,-0.006758565009904952,-0.0,-0.0,-0.0,-0.0016588132793159017,0.0028838151582096442,7
bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.roseburia,-0.0,-0.0,-0.0,-0.0008435651453116311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-8.435651453116311e-05,0.0002530695435934893,9
bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.ruminococcus,0.06511062265537582,0.046014585957221424,0.06642223465341396,6.009902229331931e-05,0.05829818645282621,0.05298833885249809,0.04941971480755031,0.03671833382238803,0.045232726038407306,0.03370666052643156,0.0453971502788406,0.018272287635465463,0
bacteria.cyanobacteria.chloroplast.streptophyta.unclassified.unclassified,-0.00893793213990311,-0.018188083651176253,-0.013819781088247343,-0.010084261520379308,-0.0,-0.015884087005860203,-0.0,-0.003344254031805373,-0.0,-0.0,-0.007025839943737159,0.00687921277085567,4
bacteria.firmicutes.clostridia.clostridiales.veillonellaceae.megasphaera,0.0,0.0,0.010071372026042535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010071372026042534,0.003021411607812761,9
bacteria.actinobacteria.coriobacteriia.coriobacteriales.coriobacteriaceae.collinsella,-0.02643881466746967,-0.010132394186664243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0214698336802663,-0.0066279445734374245,-0.012585773833431258,-0.007725476094126889,0.009317358180721802,5
bacteria.tm7.tm7-3.ew055.unclassified.unclassified,0.004805990954935143,0.002909965567585946,0.0,0.0009545632627633526,0.002691018814838863,0.002635401748253536,0.0023822688901736157,-0.0,0.0032140910275648793,0.0026273178687591927,0.0022220618134874527,0.0014211390739494196,2
bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.shuttleworthia,0.01521637880239115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015216378802391148,0.004564913640717345,9
bacteria.fusobacteria.fusobacteriia.fusobacteriales.leptotrichiaceae.sneathia,-0.0,-0.0,-0.003324074464569568,-0.0,-0.0,-0.005236066938478423,-0.0,-0.0,-0.0016703042138042424,-0.0,-0.0010230445616852234,0.0017546960547327095,7
bacteria.proteobacteria.gammaproteobacteria.aeromonadales.succinivibrionaceae.unclassified,0.011215377333459281,0.0,0.012584812559591029,0.009735309608591645,0.0,0.019236776654873798,0.010297674747606473,0.008101594426875632,0.01787725474390361,0.007356701053145062,0.009640550112804654,0.0060414003789718545,2
