,feature,r2
41,observed_otus_50000,0.2482262555886755
8,"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cysteine s-sulfate",0.21716907088225024
31,CVD3_P02786,0.16991339209604062
32,INF_O14625,0.11786068774622949
43,bacteria.firmicutes.clostridia.clostridiales.clostridiaceae.clostridium,0.1175614093819981
28,CVD2_Q9UIB8,0.11615828988440402
52,bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae,0.1114763941287289
33,INF_P13232,0.1088691812743996
36,INF_P80162,0.10119022614732043
4,OMEGA-6/OMEGA-3 RATIO,0.0878385519015088
2,"GFR, MDRD",0.08775417440694089
27,CVD2_Q76LX8,0.0876572917696713
37,INF_Q14790,0.08510101610989729
17,"Phospholipid Metabolism, Lipid, 1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*",0.083000792048332
13,"Lysolipid, Lipid, 1-eicosapentaenoyl-GPC (20:5)*",0.08148578040463561
6,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, pyruvate",0.0753108241463909
22,"Phospholipid Metabolism, Lipid, 1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*",0.07029239608817306
9,"Pyrimidine Metabolism, Uracil containing, Nucleotide, 5-methyluridine (ribothymidine)",0.06681317716219581
29,CVD3_O00175,0.06031015010136698
21,"Phospholipid Metabolism, Lipid, 1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*",0.05978945312979966
45,bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.ruminococcus,0.058449493175153244
11,"Lysolipid, Lipid, 2-myristoyl-GPC (14:0)*",0.054339821542780165
50,bacteria.firmicutes.clostridia.clostridiales.lachnospiraceae.shuttleworthia,0.05179431037305349
7,"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamyltyrosine",0.05078421479019757
38,INF_Q99748,0.04913316999327644
24,"Fatty Acid, Dicarboxylate, Lipid, 3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**",0.04464514112034357
25,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated), Lipid, undecenoylcarnitine (C11:1)",0.04342820949125603
5,"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, hypoxanthine",0.042751530963894946
19,"Sphingolipid Metabolism, Lipid, myristoyl dihydrosphingomyelin (d18:0/14:0)*",0.03883326686844324
35,INF_P78423,0.036335563355700096
48,bacteria.actinobacteria.coriobacteriia.coriobacteriales.coriobacteriaceae.collinsella,0.035948637192814714
14,"Dipeptide, Peptide, cyclo(pro-val)",0.0343844332147194
16,"Sphingolipid Metabolism, Lipid, lignoceroyl sphingomyelin (d18:1/24:0)",0.034330487800732334
34,INF_P55773,0.03384257903898591
39,INF_Q9NYY1,0.03379962870044162
54,bacteria.actinobacteria.coriobacteriia.coriobacteriales.coriobacteriaceae,0.033386985547695036
57,bacteria.cyanobacteria.chloroplast.streptophyta.unclassified,0.031120395614116725
47,bacteria.cyanobacteria.chloroplast.streptophyta.unclassified.unclassified,0.031120395614116725
15,"Sphingolipid Metabolism, Lipid, behenoyl sphingomyelin (d18:1/22:0)*",0.030355709568671063
18,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.02779813378516316
3,INSULIN,0.025049642008520112
44,bacteria.firmicutes.clostridia.clostridiales.tissierellaceae.ph2,0.021634633032201922
20,"Phospholipid Metabolism, Lipid, 1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*",0.020572764858552528
1,"CHOLESTEROL, TOTAL",0.020377883185885848
49,bacteria.tm7.tm7-3.ew055.unclassified.unclassified,0.01778140084889812
58,bacteria.tm7.tm7-3.ew055.unclassified,0.01778140084889812
42,bacteria.bacteroidetes.flavobacteriia.flavobacteriales.flavobacteriaceae.flavobacterium,0.01778140084889812
26,"Fatty Acid, Dicarboxylate, Lipid, decadienedioic acid (C10:2-DC)**",0.014198008107543791
12,"Fatty Acid, Dicarboxylate, Lipid, docosadioate (C22-DC)",0.012774160708150961
46,bacteria.cyanobacteria.4c0d-2.ys2.unclassified.unclassified,0.012600255136140825
56,bacteria.cyanobacteria.4c0d-2.ys2.unclassified,0.012600255136140825
23,"Phospholipid Metabolism, Lipid, 1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*",0.012228369765341807
53,bacteria.firmicutes.clostridia.clostridiales.ruminococcaceae,0.010683917550213917
10,"Phenylalanine and Tyrosine Metabolism, Amino Acid, phenol sulfate",0.009736174714758183
51,bacteria.proteobacteria.gammaproteobacteria.aeromonadales.succinivibrionaceae.unclassified,0.00852082891464312
0,CARBON DIOXIDE (CO2),0.007714689759236171
55,bacteria.firmicutes.bacilli.lactobacillales.aerococcaceae,0.003271560258244044
30,CVD3_P01130,0.0028874944930032953
40,diversity_shannon,0.0026202861516732012
