,feature,r2
59,"Phenylalanine and Tyrosine Metabolism, Amino Acid, N-acetyltyrosine",0.04396771004822064
103,"Lysolipid, Lipid, 1-eicosapentaenoyl-GPE (20:5)*",0.041631967310080675
57,"Monoacylglycerol, Lipid, 1-linoleoylglycerol (18:2)",0.03648615007286604
38,"Sphingolipid Metabolism, Lipid, N-palmitoyl-sphingosine (d18:1/16:0)",0.035749092292280515
110,"Pentose Metabolism, Carbohydrate, arabonate/xylonate",0.03557702406614227
118,"Phospholipid Metabolism, Lipid, 1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)",0.03513200560522933
123,"Plasmalogen, Lipid, 1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0.034307240353497304
31,"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, urate",0.03185608751514957
159,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy), Lipid, cis-3,4-methyleneheptanoylcarnitine",0.031309953996590756
49,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, alpha-hydroxyisocaproate",0.030455918654020864
21,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, valine",0.029376823617765946
40,"Primary Bile Acid Metabolism, Lipid, glycochenodeoxycholate",0.028038008277692872
62,"Fatty Acid, Dicarboxylate, Lipid, 3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",0.027430286082170574
43,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, 3-methyl-2-oxovalerate",0.027340518570672767
35,"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamylhistidine",0.026377092677967506
107,"Dipeptide, Peptide, cyclo(pro-val)",0.026160307941849648
10,"Urea cycle; Arginine and Proline Metabolism, Amino Acid, citrulline",0.025712466335588546
75,"Lysolipid, Lipid, 2-linoleoyl-GPC (18:2)*",0.02469010931962634
14,"Pyrimidine Metabolism, Orotate containing, Nucleotide, orotate",0.024650655981634295
141,"Ceramides, Lipid, ceramide (d18:1/14:0, d16:1/16:0)*",0.024392564988044874
15,"Oxidative Phosphorylation, Energy, phosphate",0.023803229799082115
117,"Secondary Bile Acid Metabolism, Lipid, glycodeoxycholate 3-sulfate",0.023755014238862615
29,"Pyrimidine Metabolism, Thymine containing, Nucleotide, 3-aminoisobutyrate",0.023537208743684146
96,"Dipeptide, Peptide, phenylalanyltryptophan",0.02269920599609765
7,"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamylglutamate",0.022601124451681054
37,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, beta-hydroxyisovalerate",0.022560511938070515
18,"Pyrimidine Metabolism, Uracil containing, Nucleotide, uridine",0.022137779918146694
130,"Phospholipid Metabolism, Lipid, 1-margaroyl-2-oleoyl-GPC (17:0/18:1)*",0.022072147471077663
136,"Long Chain Fatty Acid, Lipid, hexadecadienoate (16:2n6)",0.021977103952921406
4,"Urea cycle; Arginine and Proline Metabolism, Amino Acid, arginine",0.021975145134306318
39,"Phospholipid Metabolism, Lipid, 1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",0.02180674378747738
13,"Urea cycle; Arginine and Proline Metabolism, Amino Acid, ornithine",0.02165649462706687
0,"Medium Chain Fatty Acid, Lipid, laurate (12:0)",0.021571260136776793
119,"Plasmalogen, Lipid, 1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)",0.021268669645766125
1,"Nicotinate and Nicotinamide Metabolism, Cofactors and Vitamins, quinolinate",0.021261361328350437
22,"Glycine, Serine and Threonine Metabolism, Amino Acid, betaine",0.020845113398520465
129,"Phospholipid Metabolism, Lipid, 1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*",0.020777000084902575
68,"Lysolipid, Lipid, 1-myristoyl-GPC (14:0)",0.019705229344068154
23,"Phenylalanine and Tyrosine Metabolism, Amino Acid, tyrosine",0.019661292992449453
152,"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, 2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",0.019559277181683266
125,"Plasmalogen, Lipid, 1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0.019422232876680434
17,"Glycine, Serine and Threonine Metabolism, Amino Acid, serine",0.01938405939679666
148,"Food Component/Plant, Xenobiotics, 3-formylindole",0.018916050697300846
3,"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, N-formylmethionine",0.018511330486286393
16,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, lactate",0.01836536780717224
8,"Primary Bile Acid Metabolism, Lipid, glycocholate",0.018294419390938343
155,"Lysine Metabolism, Amino Acid, hydroxy-N6,N6,N6-trimethyllysine*",0.01828583960157948
48,"Lysolipid, Lipid, 1-stearoyl-GPI (18:0)",0.01820638269872732
69,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, isovalerylcarnitine (C5)",0.018192894415716254
90,"Steroid, Lipid, androstenediol (3alpha, 17alpha) monosulfate (3)",0.018089290880522357
158,"Fatty Acid, Dicarboxylate, Lipid, branched chain 14:0 dicarboxylic acid**",0.018070127283945747
12,"Long Chain Fatty Acid, Lipid, stearate (18:0)",0.018051614888847878
144,"Fatty Acid, Dicarboxylate, Lipid, hexadecenedioate (C16:1-DC)*",0.01787934634390831
53,"Ascorbate and Aldarate Metabolism, Cofactors and Vitamins, oxalate (ethanedioate)",0.01781040461973571
52,"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, cysteine s-sulfate",0.01755689881454403
2,"Lysine Metabolism, Amino Acid, N6,N6,N6-trimethyllysine",0.017378915363656766
99,"Benzoate Metabolism, Xenobiotics, 4-methylcatechol sulfate",0.017115878437413024
