,0,1,2,3,4,5,6,7,8,9,mean,std_dev,zeroes
"Nicotinate and Nicotinamide Metabolism, Cofactors and Vitamins, 1-methylnicotinamide",0.0,0.0,0.0,0.0011606104898608397,0.0,0.0,0.0,0.0,0.0,0.0,0.00011606104898608397,0.0003481831469582519,9
"Medium Chain Fatty Acid, Lipid, laurate (12:0)",0.04806503600247575,0.037616018809043986,0.04928006046701146,0.019381195177974316,0.0,0.03211002908224578,0.04461201545838004,0.03997640933175749,0.01969425446087371,0.04260168206907796,0.033333670085884046,0.014967291662291979,1
"Nicotinate and Nicotinamide Metabolism, Cofactors and Vitamins, quinolinate",0.0,0.0,0.0,0.0,0.03700204349270135,0.0,0.0,0.0,0.0,0.0,0.003700204349270135,0.011100613047810404,9
"Lysine Metabolism, Amino Acid, N6,N6,N6-trimethyllysine",0.0,0.0,0.0,0.0,0.019412200253798306,0.0,0.01720642158789245,0.0,0.0,0.01647377561181012,0.0053092397453500875,0.00813879277734774,7
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, N-formylmethionine",0.07370534607027879,0.0,0.016838444535488065,0.005877654765029073,0.002606576211642546,0.004242560823428159,0.01221557358114204,0.01519745901452569,0.031293048408629745,0.0,0.01619766634101641,0.02123945754794386,2
"Urea cycle; Arginine and Proline Metabolism, Amino Acid, arginine",0.023718641750550933,0.03647278237154776,0.0284517085656963,0.031044782393101152,0.013089366720393038,0.04485465644962005,0.014294636783139577,0.023052199926660313,0.01710884690414116,0.02396925345453858,0.025605687531938887,0.009464955133834002,0
"Alanine and Aspartate Metabolism, Amino Acid, aspartate",0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0011251231411179073,0.0,0.0,0.00011251231411179073,0.00033753694233537216,9
"Creatine Metabolism, Amino Acid, creatinine",0.0,0.0,0.0,0.004784478988765297,0.0,0.0,0.0,0.0,0.0,0.0,0.0004784478988765297,0.0014353436966295892,9
"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamylglutamate",0.0,0.0,0.0012163847452236665,0.005130688146004242,0.0,0.0,0.0,0.020124654894465747,0.009104005693698753,0.0042041431596657585,0.003977987663905817,0.006124697283599416,5
"Primary Bile Acid Metabolism, Lipid, glycocholate",0.0474511203774425,0.04093348972330929,0.0,0.0,0.04095446443927508,0.026579902476298992,0.01222371059635651,0.02828488378032721,0.033162674266143825,0.034804932085742424,0.026439517774489586,0.016065608581284148,2
"Creatine Metabolism, Amino Acid, guanidinoacetate",0.0,0.0,0.0,0.0,0.0,0.01599428245668057,0.0,0.011104945022575571,0.027743952414459837,0.0,0.005484317989371598,0.009209160291518812,7
"Urea cycle; Arginine and Proline Metabolism, Amino Acid, citrulline",0.0406977888226683,0.03121130283108401,0.039473766927738366,0.0,0.017462157151532633,0.04261996973097224,0.041012619169357806,0.040443623143429565,0.052151460329749606,0.004360722241989273,0.03094334103485218,0.0167081753051955,1
"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, methionine",0.0,0.004447201385729991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004447201385729991,0.001334160415718997,9
"Long Chain Fatty Acid, Lipid, stearate (18:0)",0.0,0.0,0.024558278591170993,0.0,0.007083852768088591,0.028294656265497882,0.0,0.0,0.0,0.0,0.005993678762475746,0.010462484119494159,7
"Urea cycle; Arginine and Proline Metabolism, Amino Acid, ornithine",0.009837132310491934,0.03357871172076733,0.021228613470091123,0.0,0.045101530687154376,0.03957163855060806,0.02943331228786247,0.027844378866404607,0.03219262442304268,0.026201011757517625,0.026498895407394023,0.012718445438097577,1
"Pyrimidine Metabolism, Orotate containing, Nucleotide, orotate",0.022154086614332543,0.02462979821703475,0.0,0.013983981731716846,0.012082826261398973,0.04384092168907422,0.022183834401589258,0.020380063410532796,0.0,0.03547439076853029,0.019472990309420967,0.013171680765474498,2
"Oxidative Phosphorylation, Energy, phosphate",0.05083501071855082,0.06628951179746058,0.018451597145820273,0.01786709165557413,0.049818010308887765,0.04179893806527331,0.0462481336797865,0.04816727182750807,0.03279595210515804,0.01249599985047638,0.03847675171544959,0.016592991503264345,0
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, lactate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010243178692101073,0.0017655371098732327,0.0,0.0012008715801974305,0.0030597206650835665,8
"Glycine, Serine and Threonine Metabolism, Amino Acid, serine",0.0,0.0,0.0,0.0,0.014782085628550585,0.0,0.0,0.010813287434131404,0.0,0.0,0.002559537306268199,0.005195429996075003,8
"Pyrimidine Metabolism, Uracil containing, Nucleotide, uridine",0.0,0.0,0.0,0.0,0.0,0.03755193918070305,0.0,0.015736053200320614,0.003198953449389376,0.0,0.005648694583041304,0.011614332976116621,7
"Glutamate Metabolism, Amino Acid, glutamine",-0.03734587637577539,-0.05390678604384926,-0.0,-0.0016576137806082526,-0.0,-0.049927911893186225,-0.0,-0.027875033125175933,-0.043377136427982466,-0.03970659635862763,-0.025379695400520513,0.021424560620670583,3
"Glycine, Serine and Threonine Metabolism, Amino Acid, threonine",0.0,0.0,0.0,0.0,0.0,0.004745334677442687,0.0,0.0,0.0,0.0,0.00047453346774426874,0.0014236004032328064,9
"Leucine, Isoleucine and Valine Metabolism, Amino Acid, valine",0.030410257351690555,0.044140875616904905,0.03679860482950334,0.029487261736316862,0.01258188001910811,0.04031590705108794,0.05014391776316736,0.04448646921142297,0.03290044920466645,0.017917152953359158,0.03391827757372276,0.01128246189612156,0
"Glycine, Serine and Threonine Metabolism, Amino Acid, betaine",0.0,0.0,0.0,0.009001369364380027,0.0,0.0,0.0,0.0,0.0,0.0,0.0009001369364380026,0.002700410809314008,9
"Phenylalanine and Tyrosine Metabolism, Amino Acid, tyrosine",0.04404166678321546,0.025678842311303962,0.007020894519988343,0.0,0.0,0.0,0.0168026873505972,0.014383205550574062,0.01609462864793915,0.01974931302137361,0.01437712381849918,0.013113454017428364,3
"Pyrimidine Metabolism, Uracil containing, Nucleotide, pseudouridine",0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.015359356033994713,0.0,0.0015359356033994712,0.0046078068101984134,9
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, pyruvate",0.0,0.0,0.0,0.0,0.003495486529679331,0.0,0.0,0.0,0.0,0.0,0.0003495486529679331,0.0010486459589037994,9
"Purine Metabolism, Adenine containing, Nucleotide, adenine",-0.0,-0.004074527560172544,-0.0,-0.0,-0.0,-0.009764010021698487,-0.0,-0.0,-0.0,-0.0,-0.0013838537581871032,0.0030460983947001525,8
"Pantothenate and CoA Metabolism, Cofactors and Vitamins, pantothenate",0.03172544135381824,0.0,0.0,0.016453056227964693,0.016086128439489162,0.009776846523047665,0.02517057934262897,0.034723017971431444,0.005784214074926301,0.03418573939932095,0.017390502333262742,0.012839895570606179,2
"Phenylalanine and Tyrosine Metabolism, Amino Acid, vanillylmandelate (VMA)",0.04250498037159948,0.0,0.025989819762481898,0.009214309226634564,0.0,0.04129968487023199,0.010730374401311188,0.026624027463863553,0.024582724120583422,0.04196235307181882,0.022290827328852493,0.015789334679571724,2
"Pyrimidine Metabolism, Thymine containing, Nucleotide, 3-aminoisobutyrate",0.046926551859696235,0.019085953581708136,0.010579462243394826,0.024968126069974513,0.0,0.03148015460314388,0.0,0.030272209207022907,0.040989068713162595,0.001816084699512843,0.020611761097761593,0.016260593410380896,2
"TCA Cycle, Energy, citrate",0.0,0.001113791110393191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011137911103931909,0.00033413733311795735,9
"Purine Metabolism, (Hypo)Xanthine/Inosine containing, Nucleotide, urate",0.048837130576552625,0.08481176768587288,0.0750304546507327,0.06918107991436252,0.04741116147119518,0.07788589166254183,0.06316560330164604,0.097007586127361,0.09278686536699059,0.08673956870173061,0.07428571094589859,0.0163020686381217,0
"Phenylalanine and Tyrosine Metabolism, Amino Acid, 4-hydroxyphenylpyruvate",0.01423212543330064,0.006075595022422115,0.0,0.0,0.014887892438281043,0.03287926219964399,0.019508335104352917,0.01271233153456176,0.037125311885730476,0.0,0.013742085361829293,0.012546631685657788,3
"Creatine Metabolism, Amino Acid, creatine",0.05865079288646648,0.02347656600519898,0.0,0.018122733908614887,0.0,0.02146200387373208,0.0023719111053532448,0.014470419460434819,0.017532422237391456,0.017020623925903835,0.01731074734030958,0.016110873618136626,2
